epoch,loss_epoch,loss_step,step,val_CER,val_LER,val_SER
0,6.472897529602051,,19,,,
1,5.551117897033691,,39,,,
2,,4.8954267501831055,49,,,
2,5.100741386413574,,59,,,
3,4.70963716506958,,79,,,
4,,4.089287757873535,99,,,
4,,,99,96.59969329833984,100.0,369.3170166015625
4,4.318301677703857,,99,,,
5,4.0374298095703125,,119,,,
6,3.9198756217956543,,139,,,
7,,3.553385019302368,149,,,
7,3.7403018474578857,,159,,,
8,3.7235283851623535,,179,,,
9,,3.894564390182495,199,,,
9,,,199,96.59969329833984,100.0,369.3170166015625
9,3.7036068439483643,,199,,,
10,3.4769539833068848,,219,,,
11,3.560767650604248,,239,,,
12,,3.917186975479126,249,,,
12,3.4359984397888184,,259,,,
13,3.3474113941192627,,279,,,
14,,3.0191922187805176,299,,,
14,,,299,95.929931640625,100.0,368.39959716796875
14,3.4031567573547363,,299,,,
15,3.3104031085968018,,319,,,
16,3.3677048683166504,,339,,,
17,,3.525068998336792,349,,,
17,3.3147130012512207,,359,,,
18,3.3582770824432373,,379,,,
19,,3.5054423809051514,399,,,
19,,,399,103.76094818115234,100.0,361.365966796875
19,3.2538440227508545,,399,,,
20,3.1812071800231934,,419,,,
21,3.1145167350769043,,439,,,
22,,3.210425615310669,449,,,
22,3.143385648727417,,459,,,
23,3.037074565887451,,479,,,
24,,3.228496551513672,499,,,
24,,,499,98.1452865600586,100.0,154.8419952392578
24,3.176419734954834,,499,,,
25,3.1133856773376465,,519,,,
26,3.0711045265197754,,539,,,
27,,3.14079213142395,549,,,
27,3.0869061946868896,,559,,,
28,3.071965217590332,,579,,,
29,,3.071550130844116,599,,,
29,,,599,91.808349609375,100.0,154.12843322753906
29,3.050645351409912,,599,,,
30,3.038864850997925,,619,,,
31,3.0696651935577393,,639,,,
32,,3.1751885414123535,649,,,
32,2.9606709480285645,,659,,,
33,2.9296844005584717,,679,,,
34,,3.0591681003570557,699,,,
34,,,699,90.46883392333984,100.0,153.8226318359375
34,2.9736666679382324,,699,,,
35,2.9754793643951416,,719,,,
36,2.939662456512451,,739,,,
37,,2.9896464347839355,749,,,
37,3.0326297283172607,,759,,,
38,2.8902029991149902,,779,,,
39,,2.987450122833252,799,,,
39,,,799,88.71715545654297,98.11320495605469,153.72068786621094
39,2.922316789627075,,799,,,
40,2.935678005218506,,819,,,
41,2.8212733268737793,,839,,,
42,,2.934042453765869,849,,,
42,2.9015421867370605,,859,,,
43,2.864677906036377,,879,,,
44,,3.195390462875366,899,,,
44,,,899,88.51107788085938,98.58490753173828,153.51681518554688
44,2.902134418487549,,899,,,
45,2.8810744285583496,,919,,,
46,2.806338310241699,,939,,,
47,,2.807015895843506,949,,,
47,2.804780960083008,,959,,,
48,2.8122191429138184,,979,,,
49,,2.7031564712524414,999,,,
49,,,999,88.25347900390625,98.11320495605469,153.41488647460938
49,2.8360140323638916,,999,,,
50,2.833965301513672,,1019,,,
51,2.87844181060791,,1039,,,
52,,2.956346273422241,1049,,,
52,2.81117582321167,,1059,,,
53,2.8410868644714355,,1079,,,
54,,2.9521234035491943,1099,,,
54,,,1099,87.01699829101562,98.58490753173828,153.51681518554688
54,2.7690796852111816,,1099,,,
55,2.7996747493743896,,1119,,,
56,2.815463066101074,,1139,,,
57,,2.902467727661133,1149,,,
57,2.7836499214172363,,1159,,,
58,2.8089969158172607,,1179,,,
59,,2.822673797607422,1199,,,
59,,,1199,84.75012969970703,97.16981506347656,153.10906982421875
59,2.7463889122009277,,1199,,,
60,2.7745580673217773,,1219,,,
61,2.7498836517333984,,1239,,,
62,,3.0534021854400635,1249,,,
62,2.844651222229004,,1259,,,
63,2.7588534355163574,,1279,,,
64,,2.7837138175964355,1299,,,
64,,,1299,84.64708709716797,95.75471496582031,152.9051971435547
64,2.7563350200653076,,1299,,,
65,2.8375120162963867,,1319,,,
66,2.6692118644714355,,1339,,,
67,,3.0145058631896973,1349,,,
67,2.68306827545166,,1359,,,
68,2.7094035148620605,,1379,,,
69,,2.7484326362609863,1399,,,
69,,,1399,84.80165100097656,109.4339599609375,148.52191162109375
69,2.704524278640747,,1399,,,
70,2.534229278564453,,1419,,,
71,2.7563576698303223,,1439,,,
72,,2.13722562789917,1449,,,
72,2.702648639678955,,1459,,,
73,2.7099053859710693,,1479,,,
74,,2.6247823238372803,1499,,,
74,,,1499,83.8742904663086,97.16981506347656,151.3761444091797
74,2.68093204498291,,1499,,,
75,2.6657979488372803,,1519,,,
76,2.622318744659424,,1539,,,
77,,2.684391498565674,1549,,,
77,2.6450095176696777,,1559,,,
78,2.599484443664551,,1579,,,
79,,2.9882664680480957,1599,,,
79,,,1599,81.8134994506836,94.3396224975586,148.41998291015625
79,2.6363091468811035,,1599,,,
80,2.635876178741455,,1619,,,
81,2.567528486251831,,1639,,,
82,,2.6590633392333984,1649,,,
82,2.684049129486084,,1659,,,
83,2.64158296585083,,1679,,,
84,,2.9612717628479004,1699,,,
84,,,1699,79.85574340820312,171.6981201171875,139.959228515625
84,2.6060194969177246,,1699,,,
85,2.621082067489624,,1719,,,
86,2.609549045562744,,1739,,,
87,,2.418639659881592,1749,,,
87,2.5491557121276855,,1759,,,
88,2.633580446243286,,1779,,,
89,,2.3575100898742676,1799,,,
89,,,1799,83.35909271240234,94.81131744384766,149.54129028320312
89,2.6986212730407715,,1799,,,
