epoch,loss_epoch,loss_step,step,val_CER,val_LER,val_SER
0,6.038677215576172,,26,,,
1,,4.769573211669922,49,,,
1,5.018761157989502,,53,,,
2,4.625606060028076,,80,,,
3,,4.081009387969971,99,,,
3,4.406836986541748,,107,,,
4,,,134,92.98013305664062,402.0833435058594,249.09274291992188
4,4.060151100158691,,134,,,
5,,3.504194736480713,149,,,
5,3.762134313583374,,161,,,
6,3.735969305038452,,188,,,
7,,3.3292531967163086,199,,,
7,3.4803240299224854,,215,,,
8,3.4347243309020996,,242,,,
9,,3.166451930999756,249,,,
9,,,269,93.59823608398438,100.0,170.46371459960938
9,3.4819889068603516,,269,,,
10,3.2434682846069336,,296,,,
11,,3.691821813583374,299,,,
11,3.264204978942871,,323,,,
12,,3.1436970233917236,349,,,
12,3.2720255851745605,,350,,,
13,3.1557719707489014,,377,,,
14,,3.2771148681640625,399,,,
14,,,404,95.40838623046875,100.0,170.46371459960938
14,3.089372396469116,,404,,,
15,3.07501220703125,,431,,,
16,,3.5053412914276123,449,,,
16,3.0905590057373047,,458,,,
17,3.1615688800811768,,485,,,
18,,2.4837472438812256,499,,,
18,3.0807688236236572,,512,,,
19,,,539,92.8476791381836,100.0,169.2540283203125
19,3.024752616882324,,539,,,
20,,3.344484806060791,549,,,
20,2.9873859882354736,,566,,,
21,3.101933479309082,,593,,,
22,,2.767115831375122,599,,,
22,2.9975552558898926,,620,,,
23,3.049959421157837,,647,,,
24,,3.119429588317871,649,,,
24,,,674,88.43267059326172,97.91666412353516,168.34677124023438
24,3.039320945739746,,674,,,
25,,3.227210521697998,699,,,
25,3.0071425437927246,,701,,,
26,2.8536763191223145,,728,,,
27,,2.842618227005005,749,,,
27,2.9225833415985107,,755,,,
28,2.823984384536743,,782,,,
29,,2.8577194213867188,799,,,
29,,,809,87.19646453857422,96.875,168.0443572998047
29,2.8659732341766357,,809,,,
30,2.937485933303833,,836,,,
31,,3.1762874126434326,849,,,
31,2.9430744647979736,,863,,,
32,2.88848614692688,,890,,,
33,,3.0390281677246094,899,,,
33,2.8732213973999023,,917,,,
34,,,944,88.34436798095703,96.875,167.74192810058594
34,2.8280084133148193,,944,,,
35,,3.0326664447784424,949,,,
35,2.881512403488159,,971,,,
36,2.84574556350708,,998,,,
37,,2.678414821624756,999,,,
37,2.8960282802581787,,1025,,,
38,,3.3202829360961914,1049,,,
38,2.815842628479004,,1052,,,
39,,,1079,86.79911804199219,96.875,168.14515686035156
39,2.759488821029663,,1079,,,
40,,2.5562808513641357,1099,,,
40,2.8024187088012695,,1106,,,
41,2.761600971221924,,1133,,,
42,,2.2059664726257324,1149,,,
42,2.7570557594299316,,1160,,,
43,2.878403902053833,,1187,,,
44,,2.633490562438965,1199,,,
